gene,max_deviation,min_pvalue
CAMK2A,22.225737627572677,1.0
AGR3,22.225291434401907,1.0
HTR5A,22.225291434401907,1.0
FGF10,22.22484620597652,1.0
TMEM45B,22.22484620597652,1.0
CLDN1,22.223958618505055,1.0
HSD17B2,22.223516247196535,1.0
SHC4,22.223074816106525,1.0
GPR22,22.222634319265353,1.0
SLC4A1,22.222634319265353,1.0
CNGB3,22.221756104764413,1.0
CNTN2,22.22088155717791,1.0
CTXN3,22.22088155717791,1.0
UNC5A,22.220010630953137,1.0
MCHR2,22.218710934318022,1.0
ARG1,22.218710934318022,1.0
HOXA13,22.218710934318022,1.0
IGSF1,22.218710934318022,1.0
SCN9A,22.218710934318022,1.0
PANX3,22.218279465028235,1.0
AGRP,22.217419138793975,1.0
AKAP4,22.216990271358046,1.0
GRIK3,22.216990271358046,1.0
EREG,22.216990271358046,1.0
TNMD,22.21656226080268,1.0
LGR5,22.215708789921415,1.0
SV2C,22.215283319515457,1.0
CLDN18,22.215283319515457,1.0
TAC3,22.21485868582856,1.0
GPR1,22.21401190899159,1.0
HS3ST5,22.21401190899159,1.0
SOX1,22.21401190899159,1.0
ECRG4,22.213589756150622,1.0
SORCS1,22.213589756150622,1.0
TPH2,22.213589756150622,1.0
SOX8,22.213589756150622,1.0
DNAH9,22.213589756150622,1.0
SOX9,22.21274789774754,1.0
CLEC2A,22.21149115808187,1.0
FLRT3,22.21107383922028,1.0
NEBL,22.210657309989685,1.0
TSSK3,22.209826602601765,1.0
ARX,22.209826602601765,1.0
C6,22.209412415638838,1.0
MMP8,22.208999000694632,1.0
GABRG2,22.208999000694632,1.0
GRIN1,22.208586353468185,1.0
ROS1,22.20817446969833,1.0
GAD1,22.20817446969833,1.0
CDH7,22.20817446969833,1.0
HSD17B6,22.20776334516317,1.0
NDNF,22.20776334516317,1.0
ANXA8,22.20776334516317,1.0
RAG1,22.20735297567957,1.0
ADRA1B,22.20735297567957,1.0
CGB3,22.206534485325413,1.0
TNR,22.206534485325413,1.0
DMRT2,22.206126356278016,1.0
SH3TC2,22.206126356278016,1.0
MAGEC2,22.205718965927545,1.0
PRODH,22.205718965927545,1.0
PROM1,22.205718965927545,1.0
PZP,22.205312310277428,1.0
COL4A5,22.205312310277428,1.0
SHH,22.203692955996395,1.0
HAP1,22.202887585744346,1.0
CFAP46,22.202887585744346,1.0
KISS1R,22.202485964053132,1.0
F12,22.202485964053132,1.0
CYP11A1,22.202485964053132,1.0
DPPA2,22.20208504634547,1.0
JPH1,22.200886480393844,1.0
SPAG17,22.200886480393844,1.0
GALP,22.200488342049415,1.0
PAX6,22.200488342049415,1.0
TEKT1,22.200090889560677,1.0
UPK1A,22.19929802805124,1.0
CYP7A1,22.19929802805124,1.0
KCNK10,22.19890261205619,1.0
PHOX2B,22.19890261205619,1.0
CCR3,22.19890261205619,1.0
SERPINA5,22.198507867967436,1.0
MAGEB2,22.198113792371377,1.0
EEF1A2,22.198113792371377,1.0
FOXB1,22.197720381883233,1.0
ACRV1,22.197720381883233,1.0
APOBEC3B,22.197327633146685,1.0
SOX2,22.197327633146685,1.0
HOXA9,22.19693554283355,1.0
IL17RB,22.196544107643447,1.0
NDP,22.194596644931007,1.0
FAM131C,22.194209072687944,1.0
KCNS1,22.193822133217154,1.0
CYP2C8,22.193822133217154,1.0
NPY1R,22.193435823429425,1.0
TPH1,22.193435823429425,1.0
FOXD2,22.193050140260592,1.0
PDE6H,22.19266508067127,1.0
ZIC2,22.192280641646555,1.0
BCAN,22.192280641646555,1.0
LRP2,22.191513613352168,1.0
PENK,22.19074903173771,1.0
SYCP1,22.19074903173771,1.0
PCDH8,22.19036765115071,1.0
CD1A,22.19036765115071,1.0
PRKN,22.1899868735381,1.0
KCNK17,22.1899868735381,1.0
MNS1,22.189606696048926,1.0
PIWIL1,22.188848130148834,1.0
KNDC1,22.187714712225407,1.0
TNFSF11,22.185463558379556,1.0
GABRR3,22.185463558379556,1.0
GABRB3,22.185463558379556,1.0
PAX8,22.18509036791041,1.0
PRMT8,22.184717742454293,1.0
RFPL3,22.183974176366206,1.0
CHST8,22.183974176366206,1.0
AHRR,22.183974176366206,1.0
SLC1A1,22.183232839876645,1.0
GAD2,22.182493713048597,1.0
HPGDS,22.1810220100997,1.0
KLK15,22.1810220100997,1.0
BRINP1,22.179923889252727,1.0
MRGPRX2,22.179923889252727,1.0
GRIK5,22.1795589138222,1.0
UGT2B17,22.179194466959384,1.0
C1QL3,22.179194466959384,1.0
MCHR1,22.17846714979406,1.0
CFAP47,22.17810427496118,1.0
COL25A1,22.17774191963494,1.0
MSTN,22.17774191963494,1.0
GABRA4,22.17774191963494,1.0
CBLN4,22.17738008159047,1.0
NPPC,22.17738008159047,1.0
FCER1A,22.17738008159047,1.0
CFTR,22.176297649135552,1.0
NRSN1,22.175578573823852,1.0
ENPP3,22.175578573823852,1.0
TUBB4A,22.174861515565624,1.0
